Page_Name	Entrez_ID
Aquaporin_4	361
ARL4D	379
ARHGEF3	50650
ARHGAP5	394
APOL2	23780
BNIPL	149428
ASB6	140459
BARD1	580
ATF1	466
BCAS3	54828
B4GALT4	8702
ARFIP1	27236
ASAH1	427
BAIAP3	8938
ATP5D	513
B3GALT4	8705
ARHGEF5	7984
ATP2A3	489
BAG3	9531
BBS5	129880
BRD8	10902
Ataxia_telangiectasia_and_Rad3_related	545
BCL6	604
ATXN2	6311
BNIP3	664
Aprataxin	54840
ATP6V1G3	127124
ATPAF1	64756
Bestrophin_1	7439
Aromatase	1588
ARNTL	406
BAT5	7920
ATN1	1822
ATP6V0E1	8992
BAMBI	25805
Blood_vessel_epicardial_substance	11149
ART4	420
B4GALNT2	124872
BBS1	582
B3GAT2	135152
BRIP1	83990
ATP5G2	517
Argininosuccinate_synthetase_1	445
BRF1_%28gene%29	2972
ATP6V1D	51382
ATP5C1	509
Aquaporin_3	360
ASNA1	439
APPBP2	10513
APOBEC2	10930
Binding_immunoglobulin_protein	3309
BCL2L12	83596
Autophagy-related_protein_13	9776
ARHGAP26	23092
ATP13A2	23400
BCAS2	10286
ASZ1	136991
ATP6V0D1	9114
Autotaxin	5168
BMPER	168667
BDP1	55814
BCCIP	56647
BCKDHB	594
ARF3	377
ARL8B	55207
BLCAP	10904
BOLL	66037
ATP6AP2	10159
ATP5S	27109
Ataxin_3	4287
AZI1	22994
Brain-derived_neurotrophic_factor	627
BAG2	9532
ASK1	4217
Bradykinin_receptor_B1	623
Arrestin_beta_1	408
APOA2	336
Apolipoprotein_E	348
Atlastin	51062
ATP5I	521
BHLHB8	168620
ATP5J2	9551
ARID3B	10620
ARL13B	200894
BAT4	7918
AQP5	362
ATP6V1A	523
ATF4	468
ASCL1	429
Betacellulin	685
ASPM_%28gene%29	259266
ATP5G3	518
ARID4A	5926
ATP5O	539
ARNT2	9915
BPIL1	80341
BCR_gene	613
Asporin	54829
B3GALT5	10317
ARL1	400
AQP8	343
ATG4A	115201
ARHGAP19	84986
ARHGEF9	23229
ARD1A	8260
ARPP-21	10777
AS3MT	57412
ARHGEF2	9181
Arylsulfatase_E	415
ARHGAP31	57514
ATBF1	463
BNC1	646
Bombesin-like_receptor_3	680
ATXN8OS	6315
BMPR1B	658
ARHGEF10	9639
ATP5L	10632
ARPC5	10092
Apolipoprotein_A1	335
BAZ1A	11177
Bone_morphogenetic_protein_10	27302
BHLHB3	79365
B3GALTL	145173
BAZ1B	9031
BCL2-like_1_%28gene%29	598
ARF1	375
Biglycan	633
Beta-2_adrenergic_receptor	154
ARID4B	51742
Beta-1_adrenergic_receptor	153
BOC_%28gene%29	91653
Brain-specific_angiogenesis_inhibitor_3	577
Ataxin_1	6310
Aquaporin_1	358
ATP5J	522
BIRC6	57448
BRD4	23476
ATPBD1C	51184
ATP6V1C2	245973
ASCC3L1	23020
BCAP29	55973
ARR3	407
Bcl-2-associated_X_protein	581
Beta_adrenergic_receptor_kinase-2	157
BEX1	55859
ARFGEF1	10565
ATP5E	514
AURKC	6795
Bone_morphogenetic_protein_5	653
Bloom_syndrome_protein	641
AZIN1	51582
ATP2B2	491
B4GALT7	11285
BBS2	583
ASF/SF2	6426
Apelin	8862
API5	8539
ARFIP2	23647
ARL6IP5	10550
BIN1	274
ATOX1	475
BBS7	55212
ARMCX6	54470
BBS10	79738
Bcl-2-associated_death_promoter	572
BBS9	27241
B4GALT3	8703
BAG1	573
BICD1	636
ARFGAP1	55738
ATP5SL	55101
BBX_%28gene%29	56987
ASH2L	9070
ARMET	7873
AZI2	64343
BCGF1	588
ARHGAP8	23779
APPL1	26060
AXIN1	8312
BECN1	8678
ATOH1	474
ARHGDIG	398
BNC2	54796
ARVCF	421
Azurocidin_1	566
APOBEC3D	140564
BCS1L	617
ATP11B	23200
ATRN	8455
ASRGL1	80150
Bone_morphogenetic_protein_1	649
ARS2	51593
ATG7	10533
ATF5	22809
ARHGEF1	9138
APOBEC4	403314
ARHGAP4	393
ATP1A4	480
BCL11A	53335
APLP2	334
ASCL2	430
ARHGEF11	9826
Beta-synuclein	6620
ASH1L	55870
ATP1B1	481
APPL2	55198
ASPSCR1	79058
BCL2L2	599
Apolipoprotein_C1	341
BCL2L13	23786
ARID3A	1820
Beta-catenin	1499
Band_3	6521
ARPP-19	10776
BICD2	23299
ARPC3	10094
BCAS1	8537
BH3_interacting-domain_death_agonist	637
Apolipoprotein_B	338
Bile_salt_sulfotransferase	6822
Beta-3_adrenergic_receptor	155
ATPase%2C_H%2B_transporting%2C_lysosomal_V0_subunit_a1	535
BLOC1S2	282991
BCAM	4059
ARF5	381
ARF4	378
ATP8B1	5205
APOBEC3G	60489
BCL6B	255877
BRD7	29117
AQP9	366
ARIH2	10425
ATP2B4	493
Aspartylglucosaminidase	175
BAZ2A	11176
BMI1	648
APLP1	333
ATP6V1H	51606
ATG10	83734
BRD3	8019
BET1	10282
ATP10A	57194
ATP8B3	148229
ATP6V0B	533
ATP6V0A2	23545
ASCC3	10973
BANP	54971
ASAH2C	653365
ATP6V1E2	90423
Talk%3ABRCA1	672
BAP1	8314
BEST2	54831
APOF	319
ATPAF2	91647
Bcl-2_homologous_antagonist_killer	578
ATP2A1	487
ATF7	11016
BIN3	55909
BEGAIN	57596
ARID1B	57492
ASB13	79754
ASF1B	55723
BCAR3	8412
Brain-specific_angiogenesis_inhibitor_1	575
BCOR	54880
Beta-2_microglobulin	567
ATP6V0C	527
BCL2L14	79370
AZGP1	563
BCL10	8915
BLZF1	8548
Barrier_to_autointegration_factor_1	8815
Autoimmune_regulator	326
ARFGAP3	26286
ARHGEF4	50649
APEX1	328
BOP1	23246
APOA5	116519
APOL1	8542
ARFRP1	10139
ARL6IP1	23204
ARL3	403
Arginine_vasopressin_receptor_1A	552
ATP6V1E1	529
APOBEC3B	9582
Beta-secretase_2	25825
B4GALT5	9334
BBS4	585
ARMC9	80210
Beta_adrenergic_receptor_kinase	156
ATP_synthase%2C_H%2B_transporting%2C_mitochondrial_F1_complex%2C_alpha_1	498
Arginine_vasopressin_receptor_2	554
BCAR1	9564
ATP6AP1	537
ATP6V1C1	528
BCL11B	64919
ATG12	9140
ATP6V1B2	526
BBS12	166379
ASAH2	56624
BMX_%28gene%29	660
ARL11	115761
AUP1	550
ARPC4	10093
ATP13A3	79572
Apolipoprotein_O	79135
ATPIF1	93974
ARID1A	8289
BCL2-related_protein_A1	597
AXL_receptor_tyrosine_kinase	558
B3GNT2	10678
BCL2L11	10018
APOBEC1	339
ATP2C1	27032
Bone_morphogenetic_protein_8A	353500
ATP5F1	515
ARID5B	84159
BCL3	602
Beta-secretase_1	23621
ARMS2	387715
ATXN10	25814
APOL6	80830
ARHGAP1	392
Apelin_receptor	187
Aurora_B_kinase	9212
ATP5B	506
ATG4B	23192
BAAT	570
ARL2	402
APOBEC3A	200315
Bradykinin_receptor_B2	624
BIRC2	329
Bone_morphogenetic_protein_7	655
BACH2	60468
ATG9A	79065
ASXL1	171023
Bone_morphogenetic_protein_8b	656
ARIH1	25820
Brachyury	6862
BFSP1	631
ARHGEF7	8874
BRF2_%28gene%29	55290
ASF1A	25842
BCL2L10	10017
ATP2B3	492
Apoptosis-antagonizing_transcription_factor	26574
Bone_morphogenetic_protein_3	651
ASMTL	8623
ASCC2	84164
BAT1	7919
Apolipoprotein_C4	346
Basigin	682
ARL6IP4	51329
ARL8A	127829
BAIAP2	10458
B3GAT1	27087
Apolipoprotein_C3	345
ATP6V1F	9296
B3GAT3	26229
B3GALNT1	8706
ARNTL2	56938
Beta-mannosidase	4126
APOBEC3F	200316
BAIAP2L1	55971
APPBP1	8883
ATP6V1G1	9550
ARF6	382
Atrial_natriuretic_peptide	4878
ATP2B1	490
BAG5	9529
ATP12A	479
BDH1	622
Arginine_vasopressin_receptor_1B	553
Artemin	9048
Aryl_hydrocarbon_receptor_nuclear_translocator	405
ARHGDIB	397
ARPC1B	10095
Arylsulfatase_A	410
ARHGAP9	64333
Bone_morphogenetic_protein_6	654
BASP1	10409
ARL6	84100
BCKDK	10295
Bone_morphogenetic_protein_2	650
Bone_morphogenetic_protein_4	652
Apolipoprotein_C2	344
AXIN2	8313
ATF3	467
ASAH2B	653308
ASAHL	27163
APOL3	80833
ATF7IP	55729
BCLAF1	9774
BRDT	676
ASB1	51665
BCAP31	10134
B-cell_activating_factor	10673
Aryl_hydrocarbon_receptor	196
ARPC2	10109
Bcl-2	596
ARHGEF6	9459
CCNY_%28gene%29	219771
CCDC6	8030
CAPZA2	830
C11orf16	56673
CCNL1	57018
CCL21	6366
C7orf67	84182
CCDC57	284001
CCR1	1230
Calmodulin_1	801
Caspase_2	835
BZW2	28969
C10orf118	55088
CD18	3689
C6orf166	55122
CD38	952
C-reactive_protein	1401
C1orf71	163882
CD135	2322
CBLB	868
Calreticulin	811
CALM3	808
CCDC28B	79140
C16orf58	64755
C-Raf	5894
Carboxypeptidase_A2	1358
Cartilage_associated_protein	10491
BTRC_%28gene%29	8945
C1-inhibitor	710
CD133	8842
CCL3	6348
CADPS	8618
CD6	923
C14orf159	80017
CCL11	6356
C13orf1	57213
C12orf11	55726
C1orf149	64769
CA7	766
Cathepsin_D	1509
CAMTA1	23261
CatSper4	378807
CD80	941
CCL12	20293
Cav2.1	773
CD137	3604
C5orf13	9315
CACNA1I	8911
CC2D1A	54862
CCT2_%28gene%29	10576
C14orf104	55172
BTLA	151888
C12orf5	57103
CCR2	1231
Carbonic_anhydrase_VI	765
Capping_protein_%28actin_filament%29_muscle_Z-line%2C_alpha_1	829
BTG3	10950
CAND1	55832
C-Fos	2353
C21orf45	54069
C6orf25	80739
CACNG3	10368
Cathepsin_L1	1514
C20orf43	51507
BRMS1	25855
C11orf30	56946
C6orf35	729515
CD151	977
CD37	951
CAPN2	824
CD63	967
C14orf166	51637
CD177	57126
Calcitonin_receptor	799
CCL5	6352
Caspase-9	842
BTNL2	56244
C11orf49	79096
C3orf60	25915
C8orf4	56892
Carboxylesterase_2	8824
CBWD1	55871
C10orf4	118924
C11orf60	56912
C20orf117	140710
C20orf132	140699
C1orf49	84066
CACNB2	783
CAPRIN2	65981
CD49c	3675
CD117	3815
CD248	57124
CCBL1	883
CCT7	10574
CD61	3690
C1orf124	83932
C1S	716
C19orf2	8725
CCT8	10694
CD154	959
CCL7	6354
CCT3	7203
CCT4	10575
Butyrylcholinesterase	590
C1orf103	55791
CCM2	83605
Cathepsin_H	1512
C4orf16	55435
C9orf127	51754
CCL4	6351
Caveolin_1	857
C-src_tyrosine_kinase	1445
CAPN3	825
Catechol-O-methyl_transferase	1312
CBX2_%28gene%29	84733
BSND	7809
Cathepsin_B	1508
CAMLG	819
CCDC8	83987
Cathepsin_O	1519
CD3EAP	10849
C6orf89	221477
CCL4L1	9560
CCNF	899
CD244	51744
CBY1	25776
CARD9	64170
CA11	770
BTF3	689
CCT6A	908
CAP2	10486
C21orf56	84221
C21orf7	56911
C11orf58	10944
CA8	767
CA10	56934
BYSL	705
CD31	5175
CALN1	83698
C19orf29	58509
CCL17	6361
CCBE1	147372
CCP110	9738
C10orf58	84293
CACNB1	782
C6orf10	10665
Caveolin_2	858
Cathelicidin	820
Carboxypeptidase_A1	1357
C16orf48	84080
C1QTNF5	114902
CD160	11126
Carboxylesterase_3	23491
CD20	931
CBLC	23624
C11orf56	84067
Cathepsin_G	1511
CCNG1	900
BZW1	9689
Cartilage_oligomeric_matrix_protein	1311
CAP1	10487
Catenin_%28cadherin-associated_protein%29%2C_alpha_1	1495
C14orf133	63894
C21orf59	56683
CCDC5	115106
Cation-dependent_mannose-6-phosphate_receptor	4074
C9orf82	79886
Caspase_10	843
CD5L	922
CARD14	79092
Cathepsin_E	1510
CD11c	3687
CAMK2B	816
C5a_receptor	728
CD36	948
C1orf21_%28gene%29	81563
CD5_%28protein%29	921
C10orf54	64115
Caspase_3	836
BTAF1	9044
C9orf86	55684
CASC3	22794
BTBD2	55643
CBX3	11335
CCNB1IP1	57820
CD247	919
C14orf106	55320
C15orf29	79768
C11orf1	64776
CALCOCO2	10241
CACNG4	27092
Carboxypeptidase_A6	57094
Cathepsin_A	5476
C13orf8	283489
CatSper2	117155
C19orf25	148223
C16orf7	9605
CAPNS1	826
C12orf43	64897
CD109	135228
Cav1.2	775
CD4	920
CAB39L	81617
CCNG2	901
BXDC2	55299
CD3G	917
C8orf32	55093
CAMK1	8536
CD69	969
CD155	5817
CCDC137	339230
CBFB	865
CAPN9	10753
CBX5_%28gene%29	23468
C6orf142	90523
Cathepsin_C	1075
C5orf21	83989
CD46	4179
CAPRIN1	4076
CASK	8573
C14orf79	122616
CD82_%28gene%29	3732
Caspase_7	840
CARKD	55739
BTG1	694
CD1A	909
CARD11	84433
Casein_kinase_1%2C_alpha_1	1452
CCDC55_%28gene%29	84081
CD43	6693
C1orf160	84065
CACNG2	10369
CA12	771
C4orf18	51313
C13orf15	28984
BRSK1	84446
C3a_receptor	719
CCNDBP1	23582
CARD10	29775
CCRL2	9034
Calnexin	821
CCDC85B	11007
CatSper1	117144
CCT6B	10693
CD59	966
CACNA2D1	781
CCL2	6347
BTN3A3	10384
CANT1	124583
Calcium-sensing_receptor	846
CALCOCO1	57658
C22orf9	23313
CD34	947
CD164	8763
C20orf42	55612
C1R_%28gene%29	715
CD3D	915
CD28	940
Caspase_1	834
Calmegin	1047
CAPN5	726
C7orf30	115416
Coiled-coil_domain-containing_protein_135	84229
CABIN1	23523
CA5B	11238
C2orf28	51374
CD29	3688
C1QTNF3	114899
CADPS2	93664
CACNA1H	8912
CD79A	973
BUB1B	701
C12orf41	54934
BUB3	9184
Cav1.1	779
CCDC90B	60492
CD47	961
CAMK2D	817
BRWD2	55717
C16orf84	348180
C1QTNF1	114897
CALCRL	10203
CASC5	57082
CD300A	11314
CD74	972
CCL8	6355
CCDC80	151887
C1orf19	116461
C6orf49	29964
CD24	100133941
CD146	4162
Cathepsin_S	1520
Calcitriol_receptor	7421
C7orf43	55262
BTBD14B	112939
BRUNOL4	56853
CD27	939
C9orf64	84267
CAMK2A	815
CD22	933
C1QBP	708
Calpastatin	831
CD7	924
CD163	9332
CD134	7293
CCR4	1233
Carbonic_anhydrase_III%2C_muscle_specific	761
Catalase	847
CD300LF	146722
BTG2	7832
CADM3	57863
CACNB4	785
CCRL1	51554
CCNC_%28gene%29	892
C1QL1	10882
CD276	80381
CCL22	6367
CAMK4	814
C-C_chemokine_receptor_type_6	1235
C10orf26	54838
BRWD3	254065
C10orf10	11067
CAMK2G	818
Calcitonin	796
CAPN10	11132
C3orf1	51300
CBL_%28gene%29	867
CD30	943
CCNI_%28gene%29	10983
CCL3L1	6349
Carbonic_anhydrase_II	760
CABLES1	91768
Cannabinoid_receptor_type_2	1269
CD300C	10871
CCDC113	29070
Carbonic_anhydrase_4	762
C17orf81	23587
Cathepsin_Z	1522
CBFA2T3	863
CD40_%28protein%29	958
CAPN1	823
Caspase_14	23581
C-Met	4233
Cav1.4	778
CCDC93	54520
CAPS_%28gene%29	828
CAPG	822
CACNB3	784
C15orf15	51187
CASP8AP2	9994
CALML3	810
CACNA1G	8913
C14orf4	64207
Calretinin	794
CCDC70	83446
Cav1.3	776
CD44	960
CBX8	57332
CD11a	3683
CD1E	913
C11orf54	28970
C21orf55	54943
Caspase_8	841
Casein_kinase_2%2C_alpha_1	1457
CC2D2A	57545
C3orf10	55845
CD49d	3676
