TF326309	ARHGAP19
TF313258	Lecithin%E2%80%94cholesterol_acyltransferase
TF313258	LYPLA3_%28gene%29
TF105996	ZRANB2
TF338173	APOBEC4
TF328778	CENPM
TF300428	IDH2
TF300428	IDH1
TF105430	3-dehydrosphinganine_reductase
TF101010	Cyclin_K
TF323888	MEN1
TF351429	LRRC7
TF351429	SCRIB
TF351429	Erbin_%28protein%29
TF332959	CABYR
TF332959	SPA17
TF315245	APBA1
TF315245	APBA3
TF333380	CD164
TF105637	MRPS16
TF318595	TXLNA
TF318595	TXLNB
TF337562	OR6K6
TF337562	OR6K2
TF336032	CD79B
TF336032	CD79A
TF314396	TFDP1
TF314396	TFDP2
TF315915	ARPP-21
TF326424	C16orf58
TF343678	Dystonin
TF343678	MACF1
TF333268	HBD
TF333268	HBG1
TF333268	HBB
TF333268	HBE1
TF333268	HBG2
TF351091	MEFV
TF324319	HERPUD1
TF341817	ZNF8
TF324046	BRF1_%28gene%29
TF317345	BRD3
TF317345	BRDT
TF317345	BRD4
TF317345	BRD2
TF328951	Thiopurine_methyltransferase
TF330940	Apolipoprotein_C1
TF320237	NUP54
TF338358	Interferon_gamma_receptor_1
TF323338	USF1
TF323338	USF2
TF337145	TREML1
TF300911	FAHD1
TF105610	NDUFS8
TF335976	KCNE1
TF336181	Programmed_cell_death_1
TF314531	UTP14A
TF106346	NUDT6
TF324786	CC2D2A
TF105799	MED31
TF106449	JMJD2A
TF106449	JMJD2C
TF106449	JMJD2B
TF106449	JMJD2D
TF105680	SF3B1
TF105744	NMD3
TF102046	FADD
TF318787	SLMAP
TF332434	GPR26
TF332434	GPR78
TF101068	CDCA3
TF300555	RPL3
TF340025	Involucrin
TF105763	ETFA
TF331627	Tuftelin
TF101135	CNTRL
TF338146	ZKSCAN5
TF105112	MAP3K1
TF324840	CMAS_%28gene%29
TF331630	GPR19
TF331404	FAM54B
TF312900	PTPRD
TF312900	PTPRF
TF312900	PTPRS
TF313834	SNRPB2
TF313834	Small_nuclear_ribonucleoprotein_polypeptide_A
TF315993	PHLPP_%28gene%29
TF315993	PHLPPL
TF328989	UBTF
TF315720	DLX6
TF315720	NKX3-1
TF315720	DLX4
TF318216	SGSM2
TF333579	KTN1
TF333579	RRBP1
TF106192	TIMM9
TF105546	PPP1R14A
TF105546	PPP1R14B
TF105546	PPP1R14C
TF333386	H1FOO
TF326495	CNKSR2
TF326495	CNKSR1
TF300393	AP1M1
TF300393	AP1M2
TF328612	Agmatinase
TF343849	DTNB
TF343849	DTNA
TF330031	ECM2
TF312808	NOM1
TF314566	NXF2
TF314566	NXF2
TF314566	NXF1
TF315395	Epoxide_hydrolase_2
TF102034	PIK3R4
TF313859	SUB1
TF106431	TRERF1
TF103051	POLR3F
TF300589	PLD2
TF300589	Phospholipase_D1
TF330868	TMEFF2
TF343037	DENND1A
TF320864	EAF1
TF320864	EAF2
TF335720	ERRFI1
TF313505	Pyruvate_dehydrogenase_phosphatase
TF320527	FBXO2
TF320527	FBXO6
TF328396	CLCA1
TF328396	CLCA4
TF328396	CLCA2
TF328499	Nucleolin
TF300013	Coiled-Coil_Domain_Containing_Protein_%E2%80%93_25
TF105048	HYOU1
TF331239	FANCB
TF300608	PRMT1
TF105247	DCTN2
TF313581	GTF3C5
TF337735	CLEC5A
TF337735	KLRB1
TF335499	C21orf7
TF332780	Vitronectin
TF332780	PRG4
TF326897	ATP11B
TF324419	CBY1
TF101164	NCAPH2
TF329247	UBAP1
TF300299	MUC6
TF300299	Von_Willebrand_factor
TF106131	CPSF2
TF101041	CLK3_%28gene%29
TF101041	CLK1
TF101041	CLK2
TF300274	DPM3
TF336957	NOL3
TF320686	MRPS30
TF330813	HOXD13
TF330813	HOXC13
TF330813	HOXB13
TF330813	HOXA13
TF101510	EIF2C1
TF101510	EIF2C2
TF340267	NLRP12
TF340267	NLRP14
TF340267	NALP3
TF340267	NLRP1
TF314877	SPTLC1
TF313134	EEF1D
TF313134	EEF1B2
TF319159	SF1_%28gene%29
TF333537	Transcription_termination_factor%2C_RNA_polymerase_I
TF333537	DMTF1
TF314195	EXOC1
TF300073	RPL13
TF106236	PSME2
TF106236	PSME1
TF106236	PSME3
TF105125	DUSP23
TF312916	AK3L1
TF105067	COX7A2L
TF105067	COX7A1
TF105067	COX7A2
TF103040	POLR2E
TF338438	Calreticulin
TF330974	RALY
TF330974	RALYL
TF330974	HNRNPC
TF333200	C21orf45
TF324531	RSPH4A
TF324531	RSPH6A
TF317405	UTY_%28gene%29
TF317405	UTX_%28gene%29
TF105977	5%27-3%27_exoribonuclease_2
TF317992	RPS17
TF317992	RPS17
TF300576	USP5
TF300576	USP13
TF333363	ZHX1
TF333363	ZHX2
TF333363	ZHX3
TF323998	MTHFD2
TF313244	ST13
TF334275	GPR142
TF334275	GPR139
TF313016	CDC73
TF330726	WBP1
TF330726	C10orf26
TF350004	Pyroglutamylated_RFamide_peptide_receptor
TF350004	Neuropeptide_FF_receptor_2
TF350004	Pancreatic_polypeptide_receptor_1
TF350004	Neuropeptide_Y_receptor_Y1
TF300630	CABC1
TF300236	RPL26
TF331862	RNF111
TF105170	DNAJC11
TF314562	PGRMC1
TF327221	RAB11FIP4
TF327221	RAB11FIP3
TF332804	Pituitary_adenylate_cyclase-activating_peptide
TF332804	Vasoactive_intestinal_peptide
TF323448	SYBL1
TF101219	RAD51L3
TF101219	RAD51L1
TF105714	DDX47
TF317496	POP5
TF333030	Clusterin
TF333571	VCAM-1
TF105476	ARL13B
TF316276	SEC16B
TF316276	SEC16A
TF320052	AMFR
TF101122	UBE2I
TF316575	KIAA1199
TF331316	Apolipoprotein_B
TF329721	DIO2
TF333185	Somatostatin
TF316085	ALPK1
TF316085	EEF2K
TF314381	SEPSECS
TF329111	FAM134C
TF315938	HOXD3
TF315938	HOXB3
TF315938	HOXA3
TF106466	Low-affinity_nerve_growth_factor_receptor
TF330836	Lecithin_retinol_acyltransferase
TF330836	RARRES3
TF330836	HRASLS3
TF338129	Developmental_pluripotency_associated_2
TF313800	RCE1
TF312954	KIAA0020
TF325967	WD_repeat-containing_protein_77
TF351791	INHBB
TF351791	INHBA
TF351791	INHBC
TF323842	UNQ1887
TF350406	SEC24B
TF300820	Ubiquitin_C
TF300820	Ubiquitin_B
TF314668	SRD5A1
TF329365	RABEP1
TF317098	SLC39A2
TF317098	SLC39A3
TF317098	SLC39A1
TF105767	SOAT1
TF335878	IGJ
TF318732	PRPF40A
TF315187	AP3M1
TF300116	CARKD
TF324696	DEK_%28gene%29
TF313515	MYO6
TF105785	OGT_%28gene%29
TF337780	Lymphotoxin_beta
TF314628	HIGD1A
TF315607	STX7
TF315607	STX12
TF321961	LEO1
TF332887	SLIT1
TF332887	SLIT2
TF332887	LRRC17
TF332887	SLIT3
TF105796	PTS_%28gene%29
TF101241	XPA
TF300652	HARS
TF300652	HARS2
TF332714	SATB1
TF332714	SATB2
TF324396	BOLL
TF324396	DAZ3
TF324396	DAZL
TF324222	POLI
TF330994	C4orf18
TF350709	SASH1
TF313805	TMLHE
TF313805	Gamma-butyrobetaine_dioxygenase
TF300068	LANCL2
TF337386	Interleukin_34
TF331442	CCDC90B
TF335981	KCNE3
TF335981	KCNE1L
TF314480	KIAA0196
TF329716	DAP_%28gene%29
TF351991	SNRK
TF106001	N-Myc
TF106001	MYCL1
TF106001	Myc
TF331825	MYOM1
TF331825	MYOM2
TF103002	DNA_polymerase_beta
TF324087	RDBP
TF313410	ADRM1
TF105989	TDP1
TF105572	SH3BP4
TF314715	Derlin-3
TF314715	Derlin-1
TF314715	Derlin-2
TF101533	EIF5
TF323535	PEX14
TF312909	Alpha-galactosidase
TF312909	NAGA_%28gene%29
TF324206	PCGF6
TF324206	BMI1
TF324206	PCGF2
TF324206	PCGF5
TF324206	PCGF1
TF317731	VPS25
TF314349	NAP1L1
TF314349	NAP1L4
TF317274	APLP1
TF317274	APLP2
TF317274	Amyloid_precursor_protein
TF323964	RPS6KC1
TF323964	SNX15
TF332598	MEGF10
TF101094	ORC4L
TF320194	STRBP
TF320194	ILF2
TF320194	ILF3
TF300435	DDX11
TF330969	P2RY13
TF330969	P2RY14
TF330969	P2Y12
TF330969	GPR34
TF330969	GPR87
TF330969	GPR171
TF332331	TNFSF12-TNFSF13
TF332331	B-cell_activating_factor
TF332331	TNFSF12
TF332331	TNFSF13
TF325513	TNRC15
TF105481	RAE1
TF105237	KIFC1
TF300423	Dock2
TF300423	Dock180
TF300423	Dock4
TF300423	Dock3
TF300423	Dock5
TF351057	SENP8
TF106483	MYST4
TF106483	MYST3
TF321436	CRK_%28gene%29
TF321436	CRKL
TF314591	HSD17B12
TF314591	HSD17B3_%28gene%29
TF105908	GAPVD1
TF105622	DCPS_%28gene%29
TF101007	CCNI_%28gene%29
TF101007	CCNG1
TF101007	CCNG2
TF332246	PLEK2
TF338350	BCL2L12
TF101103	Nibrin
TF341149	OR1L4
TF341149	OR1L6
TF341149	OR1L3
TF341149	OR1L1
TF341149	OR1L8
TF332922	MAML1
TF332922	MAML2
TF336320	NOL7
TF325155	FMNL2
TF325155	FMNL3
TF325155	FMNL1
TF329951	HMCN1
TF329951	SEMA5A
TF332340	BATF_%28gene%29
TF105093	CYP26A1
TF105093	CYP26C1
TF105093	CYP26B1
TF300128	MAGOH
TF337987	TARP_%28gene%29
TF300420	ACTR1B
TF300420	ACTR1A
TF332273	MAP7
TF319843	CIP29
TF351003	KLF13
TF351003	KLF9
TF351003	KLF14
TF337187	OR11A1
TF337187	OR11L1
TF329501	TAX1BP1
TF329501	CALCOCO2
TF329501	CALCOCO1
TF315383	DIAPH1
TF315383	DIAPH2
TF316871	OTOF
TF316871	Dysferlin
TF316871	FER1L3
TF333479	Protein_THEMIS
TF329597	MLH3
TF300711	PMS2
TF300711	PMS1
TF331647	GFRA2_%28gene%29
TF331647	GDNF_family_receptor_alpha_1
TF331647	GFRA3
TF313894	SREBF1
TF313894	SREBF2
TF324256	DGCR8_%28gene%29
TF338479	PLAC1
TF328517	CCM2
TF314228	Ataxin_3
TF336391	Gastrin-releasing_peptide
TF324557	FCHSD1
TF324557	FCHSD2
TF105553	PPP2R2C
TF105553	PPP2R2B
TF105553	PPP2R2A
TF315113	MUS81
TF323898	PGLYRP2
TF323898	PGLYRP1
TF105302	RASA4
TF105302	RASA3
TF105731	NADSYN1
TF333627	LRRC39
TF333627	RSU1
TF320582	ANKS1A
TF320582	ANKS1B
TF300707	Kynureninase
TF330912	BCL6B
TF330912	BCL6
TF314862	HINT1
TF300858	TARS_%28gene%29
TF300858	MRPL39
TF351065	ERF_%28gene%29
TF326195	MYBPC1
TF326195	Neural_cell_adhesion_molecule
TF320538	INSM1
TF105822	ESF1
TF313975	TADA2L
TF314671	NDUFB11
TF323554	USP51
TF318841	MLX_%28gene%29
TF318841	MAX_%28gene%29
TF318131	BCL11B
TF318131	BCL11A
TF324605	MTP18
TF337475	OR6Q1
TF337475	OR6A2
TF337475	OR6B2
TF337475	OR6Y1
TF337475	OR6P1
TF337475	OR6B1
TF337475	OR6B3
TF323287	STRAP
TF350747	Nucleolar_protein%2C_member_A1
TF329158	LRRC23
TF329763	PBK_%28gene%29
TF313168	NDRG2
TF313168	NDRG4
TF313168	NDRG1
TF314392	CHTF18
TF314963	LDHA
TF330965	KIAA1826
TF318119	MCRS1
TF331360	EGFL7
TF106301	NARG1
TF332408	SLC2A12
TF332408	SLC2A10
TF325296	Adenosine_A3_receptor
TF325296	Adenosine_A2A_receptor
TF325296	Adenosine_A1_receptor
TF325296	Adenosine_A2B_receptor
TF336280	Sperm_associated_antigen_5
TF313326	PTPLAD1
TF337579	OR13A1
TF351852	Kininogen_1
TF324498	COG7
TF336308	Interferon-gamma
TF323312	TNFAIP3
TF323312	OTUD7B
TF330957	CHFR
TF330957	RNF8
TF333963	Hyaluronan-mediated_motility_receptor
TF324849	GPR143
TF106101	P53
TF106101	P73
TF106101	TP63
TF314222	CYB561
TF105060	Talk%3ABRCA1
TF318925	RNF146
TF316105	ARHGEF6
TF316105	ARHGEF7
TF326442	RAB9A
TF330587	LIM2
TF317387	CKLF_%28gene%29
TF317387	PLP2
TF323549	CCDC28B
TF335975	BSND
TF106141	NUP133
TF324186	GCC1
TF324754	ADPRHL2
TF316491	RMI1
TF316491	TDRD3
TF106191	TIMM8A
TF324273	SHPRH
TF323886	Exosome_component_6
TF314995	HAT1
TF315174	MAPKAP1
TF326082	PCLO
TF320698	Monooxygenase_DBH-like_1
TF320698	Dopamine_beta_hydroxylase
TF320698	Peptidylglycine_alpha-amidating_monooxygenase
TF316865	COL4A6
TF314976	TARBP1
TF105676	DARS_%28gene%29
TF314500	RAB3GAP1
TF312848	GINS1
TF312958	PPIH
TF330750	Phospholamban
TF331807	DEDD
TF314160	TMEM184B
TF315345	Solute_carrier_family_35_%28CMP-sialic_acid_transporter%29%2C_member_A1
TF315345	SLC35A2
TF105463	ARL3
TF105282	TOP2A
TF105282	TOP2B
TF314290	GTF2F2
TF324158	GLE1L
TF105857	PIGS_%28genetics%29
TF333368	AMOTL1
TF333368	AMOT
TF333368	AMOTL2
TF317636	Dihydrofolate_reductase
TF313194	IMPA1
TF313194	IMPA2
TF313557	Methylmalonyl-CoA_mutase
TF331759	ZEB2
TF331759	ZEB1
TF315142	SLC31A1
TF315142	SLC31A2
TF322436	PON3
TF322436	PON2
TF322436	PON1
TF318932	Thioredoxin
TF102042	PI4KB
TF321302	NRXN3
TF319923	LDB1
TF319923	LDB2
TF317732	ELK3
TF317732	ELK1
TF317732	ELK4
TF316833	ODZ2
TF316833	ODZ1
TF343791	ORM1
TF324190	USP6
TF314956	ISCA1
TF106472	NEK8
TF106472	NEK3
TF106472	NEK9
TF320448	RBM23
TF320448	RBM39
TF338399	INF2
TF313817	PPIE_%28gene%29
TF300262	COPZ1
TF324451	ARHGAP5
TF324451	GRLF1
TF314830	BRWD2
TF105747	LSG1
TF314892	TTC8
TF324051	MANEA
TF335928	C7orf16
TF105840	DDB1
TF328534	KIAA1524
TF313751	LSM6
TF326170	Thyrotropin-releasing_hormone_receptor
TF326170	Neurotensin_receptor_1
TF316767	UNC5C
TF316767	UNC5A
TF105074	COX17
TF106198	TIMM50
TF300793	ESD_%28gene%29
TF338521	Mammaglobin-A
TF338521	Mammaglobin-B
TF314461	SSR2
TF336820	ZNF331
TF331882	TRADD
TF329836	RGMA
TF329836	RGMB
TF329836	Hemojuvelin
TF324795	Nucleoporin_62
TF329176	MBD4
TF105033	UQCRC2
TF106275	Insulin-degrading_enzyme
TF335557	ZFX
TF335557	ZFY
TF300351	DDX42
TF101177	NDC80
TF313721	MTCH1
TF313721	MTCH2
TF300740	RPL7
TF300478	Hop_%28protein%29
TF314372	Aldehyde_dehydrogenase_18_family%2C_member_A1
TF300633	CNDP1
TF105801	GLOD4
TF331779	ZNF281
TF331779	ZNF148
TF329105	UBOX5
TF337237	GPR31
TF323302	PLA2G12A
TF314359	GINS2
TF323477	WAPAL
TF329967	CRISPLD2
TF314214	CKMT1B
TF314214	CKM_%28gene%29
TF314214	CKMT2
TF314214	CKMT1B
TF101511	EIF2AK3
TF313219	ASAHL
TF313219	ASAH1
TF324344	RWDD3
TF324344	RWDD2B
TF328973	Kaptin_%28actin_binding_protein%29
TF313385	TCP11
TF106262	SFRS2
TF335852	IL17RC
TF314113	LPXN
TF314113	LIMS1
TF314113	Paxillin
TF314113	TGFB1I1
TF105660	NOL1
TF106367	PRPSAP1
TF106367	PRPSAP2
TF106448	CHD4
TF106448	CHD5
TF106448	CHD3
TF332902	Collagen%2C_type_VIII%2C_alpha_1
TF330498	Perforin
TF330498	Complement_component_6
TF105702	Fig4
TF331679	GPR149
TF351452	ARHGAP8
TF330783	Amylin
TF300016	IMP4
TF312991	XPO4
TF343510	PCSK5
TF314676	CTF8
TF316079	CREBL1
TF316079	ATF6
TF316079	CREB3
TF336215	C14orf104
TF313538	SGCG
TF313538	SGCZ
TF313538	SGCB
TF313538	SGCD
TF333443	FXYD3
TF333443	FXYD1
TF323171	DLG2
TF323171	DLG5
TF323171	DLG4
TF323171	DLG3
TF323171	DLG1
TF314470	HGS_%28gene%29
TF313956	FPGS
TF312810	WDR47
TF105357	BIRC6
TF333204	NCOA4
TF315454	AXIN2
TF315454	AXIN1
TF300686	Heat_shock_protein_90kDa_alpha_%28cytosolic%29%2C_member_A1
TF300686	HSP90AB1
TF335838	THAP6
TF335838	THAP7
TF313925	TELO2
TF314065	AGPAT3
TF334493	CD200
TF300189	AP3S2
TF300189	AP3S1
TF300772	MCM2
TF333109	MLC1
TF339658	RAET1E
TF326223	PDX1
TF333296	FTO_gene
TF323802	ENOX2
TF338101	ZWINT
TF336575	UIMC1
TF314738	FAM50A
TF342459	SPINLW1
TF105558	PPP3R2
TF105558	PPP3R1
TF105558	CHP_%28gene%29
TF313317	Succinate_dehydrogenase_complex_subunit_C
TF332356	LSM10
TF315349	Tissue_factor_pathway_inhibitor
TF315349	TFPI2
TF315349	WFIKKN1
TF351778	Collagen%2C_type_XIX%2C_alpha_1
TF300785	SMARCA2
TF300785	SMARCA4
TF350133	SFRP5
TF350133	Secreted_frizzled-related_protein_1
TF350133	SFRP2
TF314310	UPP1
TF331929	FBRS
TF315384	BAT4
TF105433	HSD17B7
TF332090	NRSN2
TF332090	NRSN1
TF314303	ABI1
TF314303	ABI2
TF314303	ABI3
TF336115	ZNF384
TF102021	DFFA
TF324070	MPV17
TF105830	LGTN
TF323306	LCA5
TF313883	POP4_%28gene%29
TF315039	AGPAT9
TF314547	SGMS1
TF105847	TSSC1
TF101503	EIF2S2
TF103041	POLR2F
TF330850	Neutrophil_cytosolic_factor_4
TF329420	TMF1
TF332447	MAN2B2
TF106132	GMP_synthase
TF334681	APOL1
TF334681	APOL2
TF334681	APOL6
TF334681	APOL3
TF314171	UTP11L
TF318985	Von_Hippel%E2%80%93Lindau_tumor_suppressor
TF105317	Glypican_1
TF105317	Glypican_4
TF105317	Glypican_2
TF105317	Glypican_3
TF105317	Glypican_6
TF105317	Glypican_5
TF314867	AGPAT2
TF314867	AGPAT1
TF324608	DGCR6
TF105819	EXOC8
TF101002	Cyclin_A2
TF101002	Cyclin_A1
TF314734	RNASEN
TF329660	GAS1
TF316942	Prosaposin
TF316942	Pulmonary_surfactant-associated_protein_B
TF321331	RABGEF1
TF321331	RABGEF1
TF313680	AHSA1
TF300737	AARS2
TF106184	SIRT7
TF106184	SIRT6
TF326812	OTUD4
TF314598	ARPC3
TF315159	TMEM138
TF101072	REV3L
TF329714	CENPN
TF315736	Caveolin_1
TF315736	Caveolin_2
TF315736	Caveolin_3
TF330647	Complement_factor_I
TF330647	TMPRSS6
TF325994	IRS4
TF325994	IRS1
TF325994	IRS2
TF337694	BTLA
TF330723	UCN2
TF330723	UCN3
TF105753	METAP1
TF341151	NBPF16
TF341151	NBPF3
TF323571	FANCL
TF106510	Progesterone_receptor
TF106510	Mineralocorticoid_receptor
TF106510	Glucocorticoid_receptor
TF337658	ZBP1
TF338018	ZNF274
TF313887	DDO_%28gene%29
TF313152	MAN2A1
TF351172	C1orf71
TF314464	CCNY_%28gene%29
TF300680	LCP1
TF300680	PLS3
TF341267	KRTDAP
TF315957	Tight_junction_protein_2
TF315957	Tight_junction_protein_1
TF319356	Osteonectin
TF319356	SPARCL1
TF101140	CIT_%28gene%29
TF300427	WDR3
TF300477	TUBG2
TF321918	PINX1
TF337688	CD43
TF331033	EMILIN1
TF332593	FBXW8
TF325357	HRBL
TF325357	HRB_%28gene%29
TF340462	Elafin
TF337340	DKK3
TF314232	SNRPN_upstream_reading_frame_protein
TF314232	SNRPB
TF106110	PSMD3
TF332940	Chorionic_gonadotropin_beta
TF332940	CGB7
TF332940	Luteinizing_hormone_beta_polypeptide
TF332940	TSHB
TF332940	Chorionic_gonadotropin_beta
TF332940	FSHB
TF332940	Chorionic_gonadotropin_beta
TF332940	CGB1
TF300288	ACYP2
TF300288	ACYP1
TF300544	CSNK1E
TF300544	CSNK1D
TF332962	SIVA1
TF105995	PSMD9
TF105995	PSMD9
TF333297	PDE6G
TF336929	CSN2
TF335942	LAG3
TF105470	ARL8A
TF105470	ARL8B
TF326923	RASSF9
TF315526	UNC13D
TF315526	BAIAP3
TF336877	TNFRSF13C
TF106176	HDAC11
TF300879	GTF2H4
TF315022	GTPBP6
TF326911	CEP290
TF329117	KIAA0430
TF316136	ATF5
TF316136	ATF4
TF351626	EPB41L3
TF351626	EPB41L1
TF351626	EPB41
TF351626	EPB41L2
TF336844	GPR120
TF324129	MICAL1
TF324129	MICAL2
TF324129	MICAL3
TF351125	ADAMTSL1
TF350668	HOXA11
TF350668	HOXD11
TF350668	HOXC11
TF330958	TAF1A
TF333211	PNRC1
TF333211	PNRC2
TF333211	PNRC2
TF105296	FKBP10
TF105296	FKBP9
TF323190	TBL1X
TF323190	TBL1XR1
TF324139	PEX16
TF324508	SMS_%28gene%29
TF313684	SLC19A3
TF313684	SLC19A1
TF313684	SLC19A2
TF329009	ZNF687
TF320495	Muscarinic_acetylcholine_receptor_M3
TF320495	Muscarinic_acetylcholine_receptor_M4
TF320495	Muscarinic_acetylcholine_receptor_M2
